  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.18276
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.100000      1.000000      0.900000      0.800000      1.000000
      0.104050      1.054960      0.952802      0.851089      1.040505
      0.108024      1.109921      1.005605      0.902179      1.080236
      0.111925      1.164881      1.058407      0.953268      1.119249
      0.115759      1.219842      1.111209      1.004358      1.157594
      0.119531      1.274802      1.164012      1.055447      1.195314
      0.123245      1.329763      1.216814      1.106536      1.232448
      0.126903      1.384723      1.269616      1.157626      1.269030
      0.130509      1.439684      1.322419      1.208715      1.305093
      0.134066      1.494644      1.375221      1.259805      1.340664
      0.137577      1.549604      1.428023      1.310894      1.375769
      0.141043      1.604565      1.480826      1.361984      1.410432
      0.144467      1.659525      1.533628      1.413073      1.444674
      0.147851      1.714486      1.586430      1.464162      1.478515
      0.151197      1.769446      1.639233      1.515252      1.511973
      0.154506      1.824407      1.692035      1.566341      1.545064
      0.157781      1.879367      1.744837      1.617431      1.577805
      0.161021      1.934327      1.797639      1.668520      1.610210
      0.164229      1.989288      1.850442      1.719609      1.642292
      0.167406      2.044248      1.903244      1.770699      1.674064
      0.170554      2.099209      1.956046      1.821788      1.705537
      0.173672      2.154169      2.008849      1.872878      1.736722
      0.176763      2.209130      2.061651      1.923967      1.767629
      0.179827      2.264090      2.114453      1.975056      1.798269
      0.182865      2.319051      2.167256      2.026146      1.828650
      0.185878      2.374011      2.220058      2.077235      1.858780
      0.188867      2.428971      2.272860      2.128325      1.888669
      0.191832      2.483932      2.325663      2.179414      1.918322
      0.194775      2.538892      2.378465      2.230503      1.947749
      0.197695      2.593853      2.431267      2.281593      1.976954
      0.200595      2.648813      2.484070      2.332682      2.005945
      0.203473      2.703774      2.536872      2.383772      2.034729
      0.206331      2.758734      2.589674      2.434861      2.063310
      0.209169      2.813694      2.642477      2.485951      2.091695
      0.211989      2.868655      2.695279      2.537040      2.119888
      0.214789      2.923615      2.748081      2.588129      2.147895
      0.217572      2.978576      2.800884      2.639219      2.175721
      0.220337      3.033536      2.853686      2.690308      2.203369
      0.223085      3.088497      2.906488      2.741398      2.230846
      0.225815      3.143457      2.959291      2.792487      2.258154
      0.228530      3.198418      3.012093      2.843576      2.285298
      0.231228      3.253378      3.064895      2.894666      2.312282
      0.233911      3.308338      3.117698      2.945755      2.339109
      0.236578      3.363299      3.170500      2.996845      2.365784
      0.239231      3.418259      3.223302      3.047934      2.392308
      0.241869      3.473220      3.276105      3.099023      2.418687
      0.244492      3.528180      3.328907      3.150113      2.444922
      0.247102      3.583141      3.381709      3.201202      2.471018
      0.249698      3.638101      3.434511      3.252292      2.496976
      0.252280      3.693061      3.487314      3.303381      2.522800
      0.254849      3.748022      3.540116      3.354471      2.548493
      0.257406      3.802982      3.592918      3.405560      2.574057
      0.259949      3.857943      3.645721      3.456649      2.599494
      0.262481      3.912903      3.698523      3.507739      2.624808
      0.265000      3.967864      3.751325      3.558828      2.650000
      0.267507      4.022824      3.804128      3.609918      2.675073
      0.270003      4.077785      3.856930      3.661007      2.700029
      0.272487      4.132745      3.909732      3.712096      2.724870
      0.274960      4.187705      3.962535      3.763186      2.749599
      0.277422      4.242666      4.015337      3.814275      2.774216
      0.279873      4.297626      4.068139      3.865365      2.798725
      0.282313      4.352587      4.120942      3.916454      2.823128
      0.284742      4.407547      4.173744      3.967543      2.847425
      0.287162      4.462508      4.226546      4.018633      2.871619
      0.289571      4.517468      4.279349      4.069722      2.895711
      0.291970      4.572428      4.332151      4.120812      2.919704
      0.294360      4.627389      4.384953      4.171901      2.943598
      0.296740      4.682349      4.437756      4.222990      2.967396
      0.299110      4.737310      4.490558      4.274080      2.991099
      0.301471      4.792270      4.543360      4.325169      3.014708
      0.303823      4.847231      4.596163      4.376259      3.038225
      0.306165      4.902191      4.648965      4.427348      3.061652
      0.308499      4.957152      4.701767      4.478438      3.084989
      0.310824      5.012112      4.754570      4.529527      3.108238
      0.313140      5.067072      4.807372      4.580616      3.131401
      0.315448      5.122033      4.860174      4.631706      3.154478
      0.317747      5.176993      4.912977      4.682795      3.177471
      0.320038      5.231954      4.965779      4.733885      3.200382
      0.322321      5.286914      5.018581      4.784974      3.223210
      0.324596      5.341875      5.071383      4.836063      3.245958
      0.326863      5.396835      5.124186      4.887153      3.268627
      0.329122      5.451795      5.176988      4.938242      3.291217
      0.331373      5.506756      5.229790      4.989332      3.313730
      0.333617      5.561716      5.282593      5.040421      3.336167
      0.335853      5.616677      5.335395      5.091510      3.358529
      0.338082      5.671637      5.388197      5.142600      3.380816
      0.340303      5.726598      5.441000      5.193689      3.403030
      0.342517      5.781558      5.493802      5.244779      3.425172
      0.344724      5.836519      5.546604      5.295868      3.447243
      0.346924      5.891479      5.599407      5.346958      3.469243
      0.349117      5.946439      5.652209      5.398047      3.491173
      0.351304      6.001400      5.705011      5.449136      3.513035
      0.353483      6.056360      5.757814      5.500226      3.534829
      0.355656      6.111321      5.810616      5.551315      3.556556
      0.357822      6.166281      5.863418      5.602405      3.578217
